distribution_key,line_condition,samp_perc,psnr_db_weighted,ssim_weighted,pixel_mae_weighted,psnr_db_original,ssim_original,pixel_mae_original,_merge,psnr_db_weighted_minus_original,ssim_weighted_minus_original,pixel_mae_weighted_minus_original
k0,cfg1,0.00125,,,,21.165093449721887,0.9104518002231048,0.05706886015832424,right_only,,,
k0,cfg1,0.0025,,,,25.314108431706085,0.966098627176394,0.03560399450361729,right_only,,,
k0,cfg1,0.005,,,,27.596790052209183,0.9801576778426797,0.026240763254463673,right_only,,,
k0,cfg1,0.01,,,,28.320908541582952,0.9833481027108065,0.024136807769536972,right_only,,,
k0,cfg3,0.00125,,,,21.480403178803115,0.9145542356819694,0.049144474789500237,right_only,,,
k0,cfg3,0.0025,,,,25.335546582824275,0.9658905077328148,0.03457539901137352,right_only,,,
k0,cfg3,0.005,,,,26.762726434689668,0.9757459300945592,0.02926208358258009,right_only,,,
k0,cfg3,0.01,,,,27.546634473974688,0.97931294721159,0.026213809847831726,right_only,,,
k0,cfg5,0.00125,,,,20.752983937268862,0.9025650820439872,0.05667394399642944,right_only,,,
k0,cfg5,0.0025,,,,24.580430860809184,0.959035936340541,0.03869235701858997,right_only,,,
k0,cfg5,0.005,,,,26.38391516913527,0.9738039598743005,0.03089959640055895,right_only,,,
k0,cfg5,0.01,,,,26.760800584408127,0.975535359104414,0.028300665318965912,right_only,,,
k0,cfg7p5,0.00125,,,,20.48728238182155,0.8926419012490197,0.06576375290751457,right_only,,,
k0,cfg7p5,0.0025,,,,22.812574420192295,0.9372868780791258,0.04818674847483635,right_only,,,
k0,cfg7p5,0.005,,,,25.032640325528483,0.9631352706885938,0.03662400618195534,right_only,,,
k0,cfg7p5,0.01,,,,25.477652500464888,0.9652769581986093,0.03534565605223179,right_only,,,
k0,unconditioned,0.00125,19.392909808865173,0.8576717580062007,0.07174721360206604,21.641617383774598,0.9164177458816102,0.053785500675439836,both,-2.2487075749094245,-0.05874598787540952,0.017961712926626204
k0,unconditioned,0.0025,,,,23.99251445565874,0.9520466190489494,0.04249558448791504,right_only,,,
k0,unconditioned,0.005,,,,26.89322849032307,0.9764134886617086,0.0286584310233593,right_only,,,
k0,unconditioned,0.01,17.980845823797544,0.8762343175602039,0.10487083196640015,28.14502394336253,0.9825900166541564,0.02433588095009327,both,-10.164178119564987,-0.10635569909395248,0.08053495101630688
k1_daytime_beach,cfg1,0.00125,,,,21.52357293930635,0.9168182760015033,0.05379350483417511,right_only,,,
k1_daytime_beach,cfg1,0.0025,,,,24.942378500872984,0.9614642279195377,0.0375717394053936,right_only,,,
k1_daytime_beach,cfg1,0.005,,,,27.295162847294478,0.9787025766163571,0.027526323683559895,right_only,,,
k1_daytime_beach,cfg1,0.01,,,,28.442033230641236,0.9837927634878372,0.0233573941513896,right_only,,,
k1_daytime_beach,cfg3,0.00125,,,,21.852984740003002,0.9225268996625662,0.05158979631960392,right_only,,,
k1_daytime_beach,cfg3,0.0025,,,,24.942682375754835,0.9629513551989921,0.03662377595901489,right_only,,,
k1_daytime_beach,cfg3,0.005,,,,26.38216788980243,0.9738993184390554,0.030839620158076286,right_only,,,
k1_daytime_beach,cfg3,0.01,,,,28.017693612707344,0.9821244368343384,0.02439445722848177,right_only,,,
k1_daytime_beach,cfg5,0.00125,,,,22.05181752401781,0.9244764302580484,0.04832291789352894,right_only,,,
k1_daytime_beach,cfg5,0.0025,,,,22.074083657264804,0.9198566620871054,0.05050596967339516,right_only,,,
k1_daytime_beach,cfg5,0.005,,,,26.176313153188453,0.9720765619220353,0.031098561361432076,right_only,,,
k1_daytime_beach,cfg5,0.01,,,,26.831734912812273,0.9763130340108783,0.02863727416843176,right_only,,,
k1_daytime_beach,cfg7p5,0.00125,,,,20.741580902012593,0.9023092792326131,0.05753915160894394,right_only,,,
k1_daytime_beach,cfg7p5,0.0025,,,,21.21752717634849,0.9050301748618896,0.05811962559819221,right_only,,,
